	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Unnamed: 43
CeGeNi	0.13632420374271903				0.07174458926222647	0.03971931682775057			0.011456065986940085		0.06003842459173872	0.023207240659085637			0.010657572205051688													
LaOPbSnTiZr	0.13632420374271903		0.011436413540713633	0.01112470797641562					0.02291213197388017	0.012631047113805733	0.012007684918347743			0.05652911249293386	0.04263028882020675	0.010903936321011885	0.0788229111928534				0.315035799522673	0.15619576535925028	0.056475903614457826			0.11439267886855242		
CHOPr	0.13632420374271903	0.16887816646562123	0.1372369624885636	0.03337412392924686	0.1674040416118618	0.052959089103667416	0.1160227404571296	0.06712310377231842	0.0687363959216405	0.17683465959328026	0.10806916426512969	0.17405430494314228	0.14104372355430184	0.11305822498586772	0.11723329425556857	0.13084723585214264	0.02627430373095113	0.10392609699769054	0.07650273224043716	0.04928050463236743	0.06682577565632458	0.03471017007983339	0.09412650602409639	0.08527572484366117	0.038831181438695274	0.051996672212978365	0.061919504643962855	
AgAlSm	0.13632420374271903			0.02224941595283124																								
BiLaNaOTi	0.13632420374271903	0.08443908323281062					0.06961364427427777																			0.010399334442595673		
LaNiO	0.13632420374271903	0.07237635705669482	0.04574565416285453	0.16687061964623429	0.023914863087408825				0.02291213197388017		0.09606147934678194	0.023207240659085637	0.011753643629525152	0.011305822498586773			0.013137151865475564			0.009856100926473488	0.07637231503579953	0.008677542519958347	0.047063253012048195	0.009475080538184574	0.04853897679836909	0.010399334442595673	0.030959752321981428	
BrCClY	0.13632420374271903																											
OYbZr	0.12393109431156277							0.06712310377231842				0.03481086098862845	0.1763046544428773					0.011547344110854504				0.008677542519958347				0.04159733777038269	0.07223942208462332	
GdHMn	0.12393109431156277	0.07237635705669482		0.02224941595283124			0.023204548091425917																					
BaCuLaO	0.12393109431156277	0.14475271411338964	0.10292772186642268	0.08899766381132496	0.11957431543704414	0.013239772275916854	0.011602274045712959	0.026849241508927372		0.08841732979664013				0.011305822498586773										0.009475080538184574				
BaCaCuGdOPr	0.12393109431156277			0.04449883190566248																								
AlBNdOY	0.12393109431156277				0.03587229463111324	0.013239772275916854																						
CaCrLaO	0.12393109431156277	0.04825090470446321	0.0686184812442818		0.011957431543704412				0.05728032993470042	0.037893141341417205		0.011603620329542819	0.10578279266572638	0.011305822498586773	0.010657572205051688								0.00941265060240964					
OSmZr	0.12393109431156277				0.011957431543704412		0.023204548091425917	0.013424620754463686		0.05052418845522293		0.0696217219772569								0.009856100926473488	0.05727923627684964	0.008677542519958347	0.00941265060240964			0.03119800332778702		
NdOZr	0.12393109431156277			0.01112470797641562			0.046409096182851835						0.03526093088857546			0.010903936321011885			0.09836065573770492	0.009856100926473488	0.0477326968973747			0.009475080538184574	0.019415590719347637	0.020798668885191347		
CuEuLaOSr	0.12393109431156277		0.14867337602927722	0.04449883190566248	0.07174458926222647	0.026479544551833708			0.20620918776492153	0.06315523556902868		0.023207240659085637															0.010319917440660475	
GeRhSm	0.12393109431156277								0.03436819796082025									0.011547344110854504										
CuOSrY	0.12393109431156277	0.060313630880579006	0.057182067703568165		0.023914863087408825				0.011456065986940085																			
BaCuOSmSr	0.12393109431156277								0.09164852789552068																			
CHNScSi	0.12393109431156277				0.03587229463111324	0.07943863365550113	0.08121591831999071	0.04027386226339106		0.05052418845522293	0.024015369836695485	0.08122534230679972	0.16455101081335213	0.09044657998869418	0.03197271661515507	0.14175117217315453	0.0394114555964267	0.21939953810623555	0.01092896174863388	0.019712201852946976	0.03818615751789976	0.026032627559875045	0.03765060240963856	0.018950161076369147	0.019415590719347637	0.08319467554076539	0.07223942208462332	
AgCeGa	0.11153798488040649									0.037893141341417205					0.010657572205051688													
PdPrU	0.11153798488040649																											
BaFGaGdInNaYbZn	0.11153798488040649																											
FeY	0.11153798488040649	0.09650180940892641	0.04574565416285453		0.023914863087408825	0.026479544551833708	0.034806822137138885	0.013424620754463686	0.011456065986940085	0.025262094227611467			0.023507287259050304						0.02185792349726776									
GdSnZn	0.11153798488040649									0.012631047113805733																		
CClHNNdO	0.11153798488040649	0.12062726176115801	0.24016468435498628	0.16687061964623429	0.20327633624297503	0.11915795048325169	0.0580113702285648	0.24164317358034634	0.11456065986940084	0.07578628268283441	0.03602305475504323	0.16245068461359943	0.1763046544428773	0.1582815149802148	0.13854843866567196	0.03271180896303566	0.10509721492380451	0.11547344110854503	0.12021857923497267	0.11827321111768185	0.12410501193317422	0.09545296771954183	0.15060240963855423	0.09475080538184574	0.1650325211144549	0.06239600665557404	0.14447884416924664	
CoLaOSm	0.11153798488040649										0.012007684918347743																	
ErOZr	0.11153798488040649						0.011602274045712959			0.11367942402425162			0.023507287259050304				0.013137151865475564			0.009856100926473488	0.06682577565632458							
CaMnOPrSr	0.11153798488040649	0.14475271411338964	0.08005489478499542	0.04449883190566248	0.05978715771852207	0.09267840593141798	0.034806822137138885	0.06712310377231842	0.08019246190858059	0.025262094227611467		0.0696217219772569			0.07460300543536183						0.00954653937947494			0.037900322152738294			0.010319917440660475	
BaCaCuOPrY	0.11153798488040649	0.012062726176115802						0.12082158679017317	0.0687363959216405						0.06394543323031014													
LaNiSn	0.11153798488040649	0.012062726176115802		0.01112470797641562			0.06961364427427777	0.04027386226339106	0.1489288578302211	0.012631047113805733			0.011753643629525152	0.011305822498586773				0.011547344110854504		0.009856100926473488								
CaCuGeOSrY	0.11153798488040649	0.012062726176115802																										
BGdNaO	0.11153798488040649			0.01112470797641562			0.011602274045712959										0.013137151865475564						0.00941265060240964		0.009707795359673818			
DyErS	0.11153798488040649																											
CaCuOPSrY	0.11153798488040649																											
CaCuLaNiO	0.11153798488040649																0.013137151865475564				0.02863961813842482		0.028237951807228913					
